subject,trial,blink,pupil,IP_START_TIME,sample_message,TIMESTAMP,trial,time
BZ4min,1,0,909.5,175027414,NA,175027774,1,360
BZ4min,1,0,909.5,175027414,NA,175027776,1,362
BZ4min,1,0,909,175027414,NA,175027778,1,364
BZ4min,1,0,909,175027414,NA,175027780,1,366
BZ4min,1,0,909.5,175027414,NA,175027782,1,368
BZ4min,1,0,907.5,175027414,NA,175027784,1,370
BZ4min,1,0,906.5,175027414,NA,175027786,1,372
BZ4min,1,0,906.5,175027414,NA,175027788,1,374
BZ4min,1,0,906,175027414,NA,175027790,1,376
BZ4min,1,0,904.5,175027414,NA,175027792,1,378
BZ4min,1,0,901.5,175027414,NA,175027794,1,380
BZ4min,1,0,900.5,175027414,NA,175027796,1,382
BZ4min,1,0,902,175027414,NA,175027798,1,384
BZ4min,1,0,903,175027414,NA,175027800,1,386
BZ4min,1,0,904,175027414,NA,175027802,1,388
BZ4min,1,0,905.5,175027414,NA,175027804,1,390
BZ4min,1,0,904.5,175027414,NA,175027806,1,392
BZ4min,1,0,902.5,175027414,NA,175027808,1,394
BZ4min,1,0,900,175027414,NA,175027810,1,396
BZ4min,1,0,900,175027414,NA,175027812,1,398
BZ4min,1,0,899.5,175027414,NA,175027814,1,400
BZ4min,1,0,899,175027414,NA,175027816,1,402
BZ4min,1,0,898,175027414,NA,175027818,1,404
BZ4min,1,0,898.5,175027414,NA,175027820,1,406
BZ4min,1,0,899,175027414,NA,175027822,1,408
BZ4min,1,0,898.5,175027414,NA,175027824,1,410
BZ4min,1,0,898,175027414,NA,175027826,1,412
BZ4min,1,0,895.5,175027414,NA,175027828,1,414
BZ4min,1,0,893.5,175027414,NA,175027830,1,416
BZ4min,1,0,894,175027414,NA,175027832,1,418
BZ4min,1,0,895,175027414,NA,175027834,1,420
BZ4min,1,0,895.5,175027414,NA,175027836,1,422
BZ4min,1,0,894,175027414,NA,175027838,1,424
BZ4min,1,0,892,175027414,NA,175027840,1,426
BZ4min,1,0,895.5,175027414,NA,175027842,1,428
BZ4min,1,0,897,175027414,NA,175027844,1,430
BZ4min,1,0,897,175027414,NA,175027846,1,432
BZ4min,1,0,896.5,175027414,NA,175027848,1,434
BZ4min,1,0,897,175027414,NA,175027850,1,436
BZ4min,1,0,897,175027414,NA,175027852,1,438
BZ4min,1,0,898.5,175027414,NA,175027854,1,440
BZ4min,1,0,898.5,175027414,NA,175027856,1,442
BZ4min,1,0,899,175027414,NA,175027858,1,444
BZ4min,1,0,900.5,175027414,NA,175027860,1,446
BZ4min,1,0,900.5,175027414,NA,175027862,1,448
BZ4min,1,0,901.5,175027414,NA,175027864,1,450
BZ4min,1,0,901,175027414,NA,175027866,1,452
BZ4min,1,0,900,175027414,NA,175027868,1,454
BZ4min,1,0,899,175027414,NA,175027870,1,456
BZ4min,1,0,898,175027414,NA,175027872,1,458
BZ4min,1,0,898.5,175027414,NA,175027874,1,460
BZ4min,1,0,899,175027414,NA,175027876,1,462
BZ4min,1,0,900.5,175027414,NA,175027878,1,464
BZ4min,1,0,901,175027414,NA,175027880,1,466
BZ4min,1,0,899.5,175027414,NA,175027882,1,468
BZ4min,1,0,899.5,175027414,NA,175027884,1,470
BZ4min,1,0,899.5,175027414,NA,175027886,1,472
BZ4min,1,0,900,175027414,NA,175027888,1,474
BZ4min,1,0,899.5,175027414,NA,175027890,1,476
BZ4min,1,0,901,175027414,NA,175027892,1,478
BZ4min,1,0,898,175027414,NA,175027894,1,480
BZ4min,1,0,897.5,175027414,NA,175027896,1,482
BZ4min,1,0,899.5,175027414,NA,175027898,1,484
BZ4min,1,0,899.5,175027414,NA,175027900,1,486
BZ4min,1,0,899,175027414,NA,175027902,1,488
BZ4min,1,0,901,175027414,NA,175027904,1,490
BZ4min,1,0,903,175027414,NA,175027906,1,492
BZ4min,1,0,902,175027414,NA,175027908,1,494
BZ4min,1,0,901.5,175027414,NA,175027910,1,496
BZ4min,1,0,900,175027414,NA,175027912,1,498
BZ4min,1,0,902,175027414,NA,175027914,1,500
BZ4min,1,0,903,175027414,NA,175027916,1,502
BZ4min,1,0,902.5,175027414,NA,175027918,1,504
